metodo,arquivo,palavra,ocorrencias,tempoMs
SerialCPU,data/Dracula-165307.txt,the,8101,68
SerialCPU,data/Dracula-165307.txt,the,8101,19
SerialCPU,data/Dracula-165307.txt,the,8101,31
ParallelCPU-2T,data/Dracula-165307.txt,the,8101,11
ParallelCPU-2T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-2T,data/Dracula-165307.txt,the,8101,2
ParallelCPU-4T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-4T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-4T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-8T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-8T,data/Dracula-165307.txt,the,8101,1
ParallelCPU-8T,data/Dracula-165307.txt,the,8101,1
ParallelGPU,data/Dracula-165307.txt,the,8104,393
ParallelGPU,data/Dracula-165307.txt,the,8104,3
ParallelGPU,data/Dracula-165307.txt,the,8104,2
SerialCPU,data/MobyDick-217452.txt,the,14715,15
SerialCPU,data/MobyDick-217452.txt,the,14715,15
SerialCPU,data/MobyDick-217452.txt,the,14715,14
ParallelCPU-2T,data/MobyDick-217452.txt,the,14715,1
ParallelCPU-2T,data/MobyDick-217452.txt,the,14715,1
ParallelCPU-2T,data/MobyDick-217452.txt,the,14715,1
ParallelCPU-4T,data/MobyDick-217452.txt,the,14715,2
ParallelCPU-4T,data/MobyDick-217452.txt,the,14715,1
ParallelCPU-4T,data/MobyDick-217452.txt,the,14715,2
ParallelCPU-8T,data/MobyDick-217452.txt,the,14715,2
ParallelCPU-8T,data/MobyDick-217452.txt,the,14715,2
ParallelCPU-8T,data/MobyDick-217452.txt,the,14715,2
ParallelGPU,data/MobyDick-217452.txt,the,14727,2
ParallelGPU,data/MobyDick-217452.txt,the,14727,2
ParallelGPU,data/MobyDick-217452.txt,the,14727,2
SerialCPU,data/DonQuixote-388208.txt,the,188,24
SerialCPU,data/DonQuixote-388208.txt,the,188,22
SerialCPU,data/DonQuixote-388208.txt,the,188,62
ParallelCPU-2T,data/DonQuixote-388208.txt,the,188,1
ParallelCPU-2T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-2T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-4T,data/DonQuixote-388208.txt,the,188,1
ParallelCPU-4T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-4T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-8T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-8T,data/DonQuixote-388208.txt,the,188,2
ParallelCPU-8T,data/DonQuixote-388208.txt,the,188,2
ParallelGPU,data/DonQuixote-388208.txt,the,188,3
ParallelGPU,data/DonQuixote-388208.txt,the,188,4
ParallelGPU,data/DonQuixote-388208.txt,the,188,3
